BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,address,lat,lon,zipcode,income,count
3,Brooklyn,47,BK28,Bensonhurst West,37137.43917,46670569.51,"Bensonhurst, Brooklyn, NY, USA",40.6139307,-73.9921833,11204,44656.601539372416,33780
3,Brooklyn,47,BK72,Williamsburg,16874.43385,11589988.14,"Williamsburg, Brooklyn, NY, USA",40.7081156,-73.9570696,11211,65996.95219762593,31170
3,Brooklyn,47,BK90,East Williamsburg,49247.02697,39132793.82,"East Williamsburg, Brooklyn, NY, USA",40.7141953,-73.9316461,11211,65996.95219762593,31170
3,Brooklyn,47,BK75,Bedford,29992.9238,32629788.98,"Bedford-Stuyvesant, Brooklyn, NY, USA",40.6872176,-73.9417735,11221,42751.64113785558,41130
3,Brooklyn,47,BK78,Bushwick South,40735.74218,40169452.36,"Bushwick, Brooklyn, NY, USA",40.6957755,-73.9170604,11221,42751.64113785558,41130
3,Brooklyn,47,BK77,Bushwick North,26321.62692,24927927.18,"Bushwick, Brooklyn, NY, USA",40.6957755,-73.9170604,11221,42751.64113785558,41130
3,Brooklyn,47,BK35,Stuyvesant Heights,28239.08077,31406935.85,"Stuyvesant Heights, Brooklyn, NY, USA",40.6824166,-73.9319933,11233,42066.2100456621,32850
3,Brooklyn,47,BK79,Ocean Hill,22494.58209,20089914.37,"Ocean Hill, Brooklyn, NY, USA",40.6782737,-73.9108212,11233,42066.2100456621,32850
3,Brooklyn,47,BK61,Crown Heights North,35635.54325,51619074.7,"Crown Heights, Brooklyn, NY, USA",40.6694022,-73.9422324,11213,41622.47265495525,30170
3,Brooklyn,47,BK63,Crown Heights South,24192.45593,15989888.79,"Crown St, Brooklyn, NY, USA",40.6659165,-73.9440494,11225,48931.211828993895,31110
3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,29562.442689999996,31638973.18,"Prospect Lefferts Gardens, Brooklyn, NY, USA",40.6592355,-73.9533895,11225,48931.211828993895,31110
3,Brooklyn,47,BK96,Rugby-Remsen Village,30957.8543,32706946.28,"Brooklyn, NY, USA",40.6781784,-73.9441579,11216,52624.28619415519,29770
2,Bronx,5,BX31,Allerton-Pelham Gardens,25467.11742,31693044.33,"Allerton Ave, The Bronx, NY, USA",40.865412,-73.8519496,10469,47773.03233679073,32780
2,Bronx,5,BX44,Williamsbridge-Olinville,27351.07767,36273595.38,"Williamsbridge, The Bronx, NY, USA",40.8787602,-73.8528356,10469,47773.03233679073,32780
3,Brooklyn,47,BK93,Starrett City,17414.78242,11598952.32,"1255 Granville Payne Ave, Brooklyn, NY 11239, United States",40.6501624,-73.8835983,11239,42587.014725568944,7470
3,Brooklyn,47,BK91,East Flatbush-Farragut,39201.03821,34360864.27,"Farragut Rd, Brooklyn, NY, USA",40.6385141,-73.9259643,11203,43299.71181556196,38170
4,Queens,81,QN20,Ridgewood,40608.5132,50495176.29,"Ridgewood, Queens, NY, USA",40.7043986,-73.9018292,11385,48960.86780210868,49320
4,Queens,81,QN19,Glendale,41514.43535,30016735.81,"Glendale, Queens, NY, USA",40.7016662,-73.8842219,11385,48960.86780210868,49320
4,Queens,81,QN99,park-cemetery-etc-Queens,490742.0223,311688895.0,"57-80 Cooper Ave, Ridgewood, NY 11385, United States",40.6936292,-73.8993426,11385,48960.86780210868,49320
4,Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,27067.652869999998,23317032.76,"Houses, Queens, NY 11101, USA",40.7556711,-73.9456723,11101,75381.86157517899,20950
4,Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,74592.14261,102421815.2,"Hunters Point, Queens, NY, USA",40.7485587,-73.9496464,11101,75381.86157517899,20950
4,Queens,81,QN71,Old Astoria,19366.21702,15619597.07,"34-03 48th St, Long Island City, NY 11101, United States",40.7533023,-73.9144171,11101,75381.86157517899,20950
2,Bronx,5,BX08,West Farms-Bronx River,17477.29476,15084986.18,"West Farms, The Bronx, NY 10460, USA",40.8430609,-73.8816001,10460,30807.543520309482,25850
2,Bronx,5,BX75,Crotona Park East,24813.241469999997,16319724.93,"Crotona Park East, The Bronx, NY 10460, USA",40.8365344,-73.8933509,10460,30807.543520309482,25850
2,Bronx,5,BX46,Parkchester,12411.788209999999,9184677.037999999,"Parkchester, The Bronx, NY 10462, USA",40.8382522,-73.8566087,10462,44542.561158262615,40060
2,Bronx,5,BX07,Bronxdale,17432.17611,15185447.53,"Bronxdale, The Bronx, NY 10462, USA",40.8506558,-73.8665241,10462,44542.561158262615,40060
2,Bronx,5,BX49,Pelham Parkway,25823.03689,23032576.14,"Pelham Parkway, The Bronx, NY, USA",40.8553279,-73.8639594,10462,44542.561158262615,40060
3,Brooklyn,47,BK30,Dyker Heights,30596.84537,29911047.21,"Dyker Heights, Brooklyn, NY 11228, USA",40.6214932,-74.009584,11228,56931.190356604726,19910
3,Brooklyn,47,BK23,West Brighton,14113.581369999998,8738769.002999999,"West Brighton, Brooklyn, NY 11224, USA",40.5775,-73.9725,11224,42815.73754316723,20270
3,Brooklyn,47,BK21,Seagate-Coney Island,51874.95553,38782030.92,"Seagate, Brooklyn, NY, USA",40.5768098,-74.0079781,11224,42815.73754316723,20270
4,Queens,81,QN18,Rego Park,26675.10873,19941713.5,"Rego Park, Queens, NY, USA",40.7255722,-73.8624893,11374,61267.22652885444,23220
2,Bronx,5,BX28,Van Cortlandt Village,21945.71998,25666125.03,"Van Cortlandt Village, The Bronx, NY 10463, USA",40.8837203,-73.893139,10463,60070.76159906624,34270
2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,27990.7884,23214112.68,"3041 Kingsbridge Ave, The Bronx, NY 10463, United States",40.8794471,-73.9075988,10463,60070.76159906624,34270
1,Manhattan,61,MN01,Marble Hill-Inwood,31844.40942,17732688.67,"Marble Hill, New York, NY, USA",40.8761173,-73.9102628,10463,60070.76159906624,34270
4,Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,30731.59203,38835956.59,#ERROR!,#ERROR!,#ERROR!,11365,55229.06062008329,21610
1,Manhattan,61,MN15,Clinton,34481.628769999996,18362149.28,"Hell's Kitchen, New York, NY, USA",40.7637581,-73.9918181,10019,100135.92233009708,25750
4,Queens,81,QN50,Elmhurst-Maspeth,32362.8252,21927665.93,"57th Avenue &, Grand Ave, Queens, NY 11373, United States",40.767267,-73.9841435,10019,100135.92233009708,25750
5,Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,70983.84847000001,89023935.74,"Mariners Harbor, Staten Island, NY 10303, USA",40.6367701,-74.1587547,10303,47304.90748189864,12430
4,Queens,81,QN34,Queens Village,41782.40111,69533432.82,"Queens Village, Queens, NY, USA",40.7156628,-73.7419017,11429,46916.66666666666,13500
4,Queens,81,QN43,Bellerose,32086.150889999997,55184284.56,"Bellerose Manor, Queens, NY, USA",40.7361769,-73.7137365,11004,69120.83936324168,6910
4,Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,33596.47316,45666940.66,"260-01 79th Ave, Glen Oaks, NY 11004, United States",40.7468722,-73.7114124,11004,69120.83936324168,6910
2,Bronx,5,BX41,Mount Hope,18937.24816,14716710.85,"Mount Hope, Manhattan, NY, USA",40.8488863,-73.9051185,10457,28873.08039747064,33210
2,Bronx,5,BX01,Claremont-Bathgate,29972.777169999998,16451615.82,"Bathgate Ave & Claremont Pkwy, The Bronx, NY 10457, USA",40.8498932,-73.8954744,10457,28873.08039747064,33210
2,Bronx,5,BX17,East Tremont,29633.13653,19255162.73,"East Tremont, The Bronx, NY 10457, USA",40.8453781,-73.8909693,10457,28873.08039747064,33210
4,Queens,81,QN21,Middle Village,42675.54848,57684905.43,"Middle Village, Queens, NY, USA",40.717372,-73.87425,11379,66975.22271714923,17960
4,Queens,81,QN29,Elmhurst,36711.3363,32675347.57,"Elmhurst, Queens, NY, USA",40.737975,-73.8801301,11373,37281.52003142184,50920
4,Queens,81,QN66,Laurelton,29530.92775,39784922.19,"Laurelton, Queens, NY, USA",40.67764,-73.7447853,11413,52222.731439046736,21820
4,Queens,81,QN03,Springfield Gardens South-Brookville,45322.12309,43288489.65,"149 Ave &, S Conduit Ave, Springfield Gardens, NY 11413, United States",#ERROR!,#ERROR!,11413,52222.731439046736,21820
2,Bronx,5,BX62,Woodlawn-Wakefield,38694.04071,39738786.39,"555 E 233rd St, The Bronx, NY 10466, United States",40.8953515,-73.8633567,10470,54263.19176319176,7770
3,Brooklyn,47,BK85,East New York (Pennsylvania Ave),24226.851290000002,19397526.69,"Pennsylvania Ave, Brooklyn, NY, USA",40.6585561,-73.8905344,11207,36232.331164460404,44570
3,Brooklyn,47,BK83,Cypress Hills-City Line,35565.83025,27609750.63,"City Line, Brooklyn, NY 11207, USA",40.6762144,-73.8870806,11207,36232.331164460404,44570
4,Queens,81,QN55,South Ozone Park,36708.16929,82461393.53,"South Ozone Park, Queens, NY, USA",40.6764003,-73.8124984,11420,44471.561969439725,23560
3,Brooklyn,47,BK27,Bath Beach,22383.74323,20534620.81,"Bath Beach, Brooklyn, NY, USA",40.6038852,-74.0062078,11214,44426.616614192295,41290
5,Staten Island,85,SI48,Arden Heights,29689.39553,50410815.85,"Arden Heights, Staten Island, NY 10312, USA",40.556413,-74.1735044,10312,78127.12152070603,29460
5,Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,71174.58291,141057788.4,"Annadale, Staten Island, NY 10312, USA",40.5445496,-74.1765324,10312,78127.12152070603,29460
5,Staten Island,85,SI32,Rossville-Woodrow,33247.2589,64963357.85,"Woodrow, Staten Island, NY 10312, USA",40.5434385,-74.1976441,10312,78127.12152070603,29460
4,Queens,81,QN30,Maspeth,41265.6433,35633161.0,"Maspeth, Queens, NY, USA",40.7294018,-73.9065883,11377,44689.808778791834,46020
4,Queens,81,QN63,Woodside,27868.190339999997,28248218.67,"Woodside, Queens, NY, USA",40.7532952,-73.9068973,11377,44689.808778791834,46020
4,Queens,81,QN23,College Point,59454.7495,50553980.64,"College Point, Queens, NY, USA",40.786395,-73.8389657,11356,44757.744241461485,12590
3,Brooklyn,47,BK73,North Side-South Side,28149.97995,28869768.12,"161 Montrose Ave, Brooklyn, NY 11206, United States",40.7074918,-73.9427665,11206,41022.11796246649,37300
4,Queens,81,QN37,Kew Gardens Hills,33105.85523,37888713.65,"Kew Gardens Hills, Queens, NY 11367, USA",40.7384471,-73.8104048,11367,53394.73684210527,19000
2,Bronx,5,BX98,Rikers Island,18898.11629,18163827.58,"Rikers Island, New York, NY, USA",40.7931277,-73.88601,11370,46835.32486930545,13390
5,Staten Island,85,SI28,Port Richmond,39041.546310000005,36422143.64,"Port Richmond, Staten Island, NY, USA",40.6354914,-74.1254641,10310,61002.15517241379,11600
5,Staten Island,85,SI22,West New Brighton-New Brighton-St. George,66054.25147999999,56030445.13,"West Brighton, Staten Island, NY, USA",40.6270298,-74.1093141,10310,61002.15517241379,11600
3,Brooklyn,47,BK81,Brownsville,27298.84988,32719365.87,"Brownsville, Brooklyn, NY, USA",40.665214,-73.9125304,11212,33890.52874743326,38960
4,Queens,81,QN54,Richmond Hill,33792.46553,50978396.17,"Richmond Hill, Queens, NY, USA",40.6958108,-73.8272029,11418,44465.27777777778,18000
4,Queens,81,QN62,Queensboro Hill,30549.053160000003,26561788.17,"Flushing, Queens, NY, USA",40.7674987,-73.833079,11354,38054.49936628644,31560
4,Queens,81,QN22,Flushing,38362.72815,37865073.07,"Flushing, Queens, NY, USA",40.7674987,-73.833079,11354,38054.49936628644,31560
1,Manhattan,61,MN27,Chinatown,20786.25611,14501868.16,"Chinatown, New York, NY, USA",40.7157509,-73.9970307,10013,95970.93791281374,15140
1,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.032330000002,25032687.72,"Little Italy, New York, NY 10013, USA",40.7191413,-73.9973273,10013,95970.93791281374,15140
1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,43738.49622,19014298.9,"Battery Park City, New York, NY, USA",40.7115786,-74.0158441,10280,127387.97169811321,4240
4,Queens,81,QN17,Forest Hills,36171.47826,57827751.66,"Forest Hills, Queens, NY 11375, USA",40.718106,-73.8448469,11375,81855.62691985481,35810
1,Manhattan,61,MN14,Lincoln Square,19869.90832,15805586.31,"Lincoln Square, New York, NY, USA",40.7741769,-73.9849118,10023,114465.84302325582,34400
1,Manhattan,61,MN17,Midtown-Midtown South,27032.70022,30191534.37,"Midtown South, New York, NY, USA",40.7521795,-73.9875438,10018,98334.55344070279,6830
1,Manhattan,61,MN40,Upper East Side-Carnegie Hill,23778.410519999998,20065364.18,"Carnegie Hill, New York, NY, USA",40.7844653,-73.9550857,10128,105461.71171171172,33300
4,Queens,81,QN53,Woodhaven,28067.66447,37000431.4,"Woodhaven, Queens, NY, USA",40.6901366,-73.8566087,11421,43413.13763233879,20780
5,Staten Island,85,SI54,Great Kills,66104.137,89615894.75,"Great Kills, Staten Island, NY, USA",40.5543273,-74.156292,10308,76123.1884057971,13800
2,Bronx,5,BX26,Highbridge,18506.3102,16457635.51,"Highbridge, The Bronx, NY, USA",40.836916,-73.9271294,10452,29619.712581344902,36880
2,Bronx,5,BX63,West Concourse,28499.044639999996,19379817.36,"Concourse, The Bronx, NY, USA",40.8316761,-73.9227554,10452,29619.712581344902,36880
2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,31851.142460000003,49048279.09,"5250 Fieldston Rd, The Bronx, NY 10471, United States",40.8996639,-73.9006248,10471,84752.74725274727,10010
3,Brooklyn,47,BK40,Windsor Terrace,19033.671730000002,14041668.07,"Windsor Terrace, Brooklyn, NY, USA",40.6539346,-73.9756567,11218,57079.945799457986,33210
3,Brooklyn,47,BK64,Prospect Heights,15073.773519999999,10230580.6,"Prospect Heights, Brooklyn, NY, USA",40.6774196,-73.9668408,11238,76108.74368686871,31680
2,Bronx,5,BX27,Hunts Point,44726.8185,49729963.23,"Hunts Point, The Bronx, NY, USA",40.8094385,-73.8803315,10474,30193.83697813121,5030
3,Brooklyn,47,BK50,Canarsie,43718.66635,82098856.61,"Canarsie, Brooklyn, NY, USA",40.6402325,-73.9060579,11236,46886.617100371746,48420
3,Brooklyn,47,BK58,Flatlands,40635.27534,54341776.2,"Flatlands, Brooklyn, NY, USA",40.6232714,-73.9321664,11234,62069.86747268077,43010
3,Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,91993.56479,69463730.98,"4014 Avenue U, Brooklyn, NY 11234, United States",40.6083914,-73.9242091,11234,62069.86747268077,43010
4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,45784.45809,68394169.93,"23421 41st Ave, Flushing, NY 11363, United States",40.7687644,-73.7495407,11363,83548.85057471265,3480
2,Bronx,5,BX06,Belmont,17114.268969999997,13557339.87,"Belmont, The Bronx, NY, USA",40.8534507,-73.8893682,10458,31116.48383371824,34640
2,Bronx,5,BX40,Fordham South,15880.352069999999,6308875.2129999995,"Fordham, The Bronx, NY 10458, USA",40.8592667,-73.8984694,10458,31116.48383371824,34640
2,Bronx,5,BX05,Bedford Park-Fordham North,22565.481190000002,14998883.48,"Bedford Park, The Bronx, NY 10458, USA",40.8700999,-73.8856912,10458,31116.48383371824,34640
4,Queens,81,QN35,Briarwood-Jamaica Hills,30038.170680000003,29301607.07,"Briarwood, Queens, NY, USA",40.7109315,-73.813561,11435,44407.649253731346,26800
4,Queens,81,QN60,Kew Gardens,21449.75156,20568333.52,"Kew Gardens, Queens, NY, USA",40.705695,-73.8272029,11415,65447.99176107106,9710
2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,67340.97939,51983797.5,"Harding Park, The Bronx, NY 10473, USA",40.8096822,-73.8551385,10473,41659.35415935416,28490
4,Queens,81,QN28,Jackson Heights,29422.38874,47856882.62,"Jackson Heights, Queens, NY, USA",40.7556818,-73.8830701,11372,47482.2695035461,35250
3,Brooklyn,47,BK37,Park Slope-Gowanus,31476.80909,42509226.23,"150 4th Ave, Brooklyn, NY 11217, United States",40.6797275,-73.9818356,11217,89647.6833976834,20720
5,Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,84848.45521,145674612.0,"Richmond Valley Rd, Staten Island, NY 10309, USA",40.5206571,-74.2331309,10309,79936.14931237722,15270
1,Manhattan,61,MN03,Central Harlem North-Polo Grounds,27983.88418,25403484.05,"2931 Frederick Douglass Blvd, New York, NY 10039, United States",40.8299488,-73.9374058,10039,41710.134128166916,13420
3,Brooklyn,47,BK82,East New York,87941.16682,117025692.3,"East New York, Brooklyn, NY, USA",40.6590529,-73.8759245,11208,34058.535499666155,44930
1,Manhattan,61,MN32,Yorkville,17998.72085,13602064.14,"Yorkville, New York, NY, USA",40.7762231,-73.9492079,10028,109901.13547376664,25540
4,Queens,81,QN48,Auburndale,32452.05928,34164915.08,"Auburndale, Queens, NY, USA",40.7577672,-73.7833961,11361,64522.19040801718,13970
4,Queens,81,QN52,East Flushing,25848.54542,29453683.48,"East Flushing, Queens, NY, USA",40.7540534,-73.8086418,11355,29862.84289276808,52130
2,Bronx,5,BX34,Melrose South-Mott Haven North,19589.19728,17271780.75,"Melrose, The Bronx, NY 10451, USA",40.824545,-73.9104143,10456,28554.84974346445,40930
2,Bronx,5,BX35,Morrisania-Melrose,27740.84615,16891753.64,"Morrisania, The Bronx, NY, USA",40.8310814,-73.9058574,10456,28554.84974346445,40930
2,Bronx,5,BX39,Mott Haven-Port Morris,35603.73328,41898533.76,"Port Morris, The Bronx, NY, USA",40.8022025,-73.9166051,10454,29534.774436090225,15960
1,Manhattan,61,MN22,East Village,13555.23945,10894316.12,"East Village, New York, NY, USA",40.7264773,-73.9815337,10009,70702.04955643928,32690
1,Manhattan,61,MN50,Stuyvesant Town-Cooper Village,12021.7903,5582283.016,"Stuyvesant Town-Peter Cooper Village, New York, NY, USA",40.7316903,-73.9778494,10009,70702.04955643928,32690
1,Manhattan,61,MN28,Lower East Side,25466.69137,23297284.6,"Lower East Side, New York, NY, USA",40.715033,-73.9842724,10002,49565.50011823126,42290
1,Manhattan,61,MN21,Gramercy,12096.89551,7526926.68,"Gramercy Park, New York, NY, USA",40.7367783,-73.9844722,10010,108373.71721778793,17540
1,Manhattan,61,MN23,West Village,28621.65099,24970650.17,"West Village, New York, NY, USA",40.73468,-74.0047554,10014,114122.59615384616,18720
3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,14264.786530000001,9983620.469,"Cobble Hill, Brooklyn, NY, USA",40.686536,-73.9962255,11201,105868.10730253354,33550
3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32542.89994,28477918.57,"72 Hudson Ave, Brooklyn, NY 11201, United States",40.702748,-73.9812812,11201,105868.10730253354,33550
1,Manhattan,61,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45693.0746,37068381.79,"35 W 19th St, New York, NY 10011, United States",40.7400335,-73.9930878,10011,111220.60284862538,30190
1,Manhattan,61,MN12,Upper West Side,29160.206280000002,34379942.5,"Upper West Side, New York, NY, USA",40.7870106,-73.9753676,10024,111268.00916830386,30540
2,Bronx,5,BX43,Norwood,22150.30822,15724928.32,"Norwood, The Bronx, NY, USA",40.8810341,-73.878486,10467,36853.543133802814,45440
2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,59164.99931,40256794.25,"Eastchester, The Bronx, NY, USA",40.8859837,-73.8279471,10475,51090.02169197396,23050
2,Bronx,5,BX13,Co-op City,30327.128139999997,39833695.0,"Co-Op City, The Bronx, NY 10475, USA",40.8738889,-73.8294444,10475,51090.02169197396,23050
3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,91051.03373,63341499.77,"760 Oriental Blvd, Brooklyn, NY 11235, United States",40.5766154,-73.9430926,11235,53210.05544354839,39680
3,Brooklyn,47,BK19,Brighton Beach,21060.16966,17180137.76,"Brighton Beach, Brooklyn, NY, USA",40.5780706,-73.9596565,11235,53210.05544354839,39680
4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,114095.12,99436037.04,"W 2nd Rd, Broad Channel, NY 11693, United States",40.6146999,-73.821382,11693,53238.34196891191,5790
4,Queens,81,QN12,Hammels-Arverne-Edgemere,83804.73141000001,61894959.51,"Arverne, Queens, NY, USA",40.592658,-73.7977928,11692,42646.23172103487,8890
5,Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,37119.89962,37752553.38,"42 Arlo Rd, Staten Island, NY 10301, United States",40.6195417,-74.0917173,10301,61639.344262295075,18300
5,Staten Island,85,SI35,New Brighton-Silver Lake,30320.374969999997,47137243.97,"Silver Lake Rd, Staten Island, NY 10301, USA",40.6321487,-74.0933106,10301,61639.344262295075,18300
4,Queens,81,QN05,Rosedale,64163.7234,61569261.15,"Rosedale, Queens, NY, USA",40.6584068,-73.7389596,11422,52118.389423076915,16640
5,Staten Island,85,SI37,Stapleton-Rosebank,55208.93697,46432646.33,"Rosebank, Staten Island, NY 10305, USA",40.6139932,-74.0662521,10305,61131.61914460285,19640
5,Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,39940.27553,40925777.49,"Fort Wadsworth, Staten Island, NY 10305, USA",40.6012117,-74.0579185,10305,61131.61914460285,19640
5,Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,41971.58255,67009381.27,"Dongan Hills, Staten Island, NY, USA",40.5906641,-74.088452,10305,61131.61914460285,19640
5,Staten Island,85,SI25,Oakwood-Oakwood Beach,44299.03226,55961883.75,"Oakwood Beach, Staten Island, NY 10306, USA",40.5526053,-74.1143087,10306,70501.46145414688,27370
5,Staten Island,85,SI45,New Dorp-Midland Beach,34336.5209,55429451.12,"New Dorp, Staten Island, NY 10306, USA",40.5739937,-74.1159755,10306,70501.46145414688,27370
4,Queens,81,QN70,Astoria,32534.7384,39335513.59,"Astoria, Queens, NY, USA",40.7643574,-73.9234619,11106,57699.72764412165,22030
4,Queens,81,QN15,Far Rockaway-Bayswater,48684.4168,54160419.88,"Bayswater Ave, Queens, NY 11691, USA",40.6068327,-73.7654054,11691,41385.869565217385,23000
