zipcode,NTAName,income,count
11379,West Central Queens ,66975.22271714923,17960
11385,West Central Queens ,48960.86780210868,49320
11691,Rockaways ,41385.869565217385,23000
11692,Rockaways ,42646.23172103487,8890
11693,Rockaways ,53238.34196891191,5790
11694,Rockaways ,75784.7533632287,8920
11697,Rockaways ,92243.30357142855,2240
11004,Southeast Queens ,69120.83936324168,6910
11005,Southeast Queens ,111819.72789115646,1470
11411,Southeast Queens ,55094.73197781885,10820
11413,Southeast Queens ,52222.731439046736,21820
11422,Southeast Queens ,52118.389423076915,16640
11426,Southeast Queens ,64762.93103448276,9280
11427,Southeast Queens ,58315.94323873122,11980
11428,Southeast Queens ,50822.53240279163,10030
11429,Southeast Queens ,46916.66666666666,13500
11414,Southwest Queens ,69504.47093889718,13420
11415,Southwest Queens ,65447.99176107106,9710
11416,Southwest Queens ,37758.55210819411,12570
11417,Southwest Queens ,47425.249169435214,15050
11418,Southwest Queens ,44465.27777777778,18000
11419,Southwest Queens ,37354.95234148363,24130
11420,Southwest Queens ,44471.561969439725,23560
11421,Southwest Queens ,43413.13763233879,20780
11368,West Queens ,32259.141331142157,48680
11369,West Queens ,40030.170049369175,18230
11370,West Queens ,46835.32486930545,13390
11372,West Queens ,47482.2695035461,35250
11373,West Queens ,37281.52003142184,50920
11377,West Queens ,44689.808778791834,46020
11378,West Queens ,55465.2466367713,17840
10302,Port Richmond ,53348.484848484855,8250
10303,Port Richmond ,47304.90748189864,12430
10310,Port Richmond ,61002.15517241379,11600
10306,South Shore ,70501.46145414688,27370
10307,South Shore ,81268.88217522658,6620
10308,South Shore ,76123.1884057971,13800
10309,South Shore ,79936.14931237722,15270
10312,South Shore ,78127.12152070603,29460
10301,Stapleton and St. George ,61639.344262295075,18300
10304,Stapleton and St. George ,55267.06231454006,20220
10305,Stapleton and St. George ,61131.61914460285,19640
10314,Mid-Island ,69501.09249817918,41190
